51,,FAST School of Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Classes' Schedule for Semester: Fall-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Khyber II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Khyber III,SL1016 English - I- Lab,,,,,,,BBA01A1,,SL1016 English - I- Lab,,,,,,,BBA01A1,,SL1016 English - I- Lab,,,,,,,BSBA01D1,,SL1016 English - I- Lab,,,,,,,BSBA01D1,,SL1016 English - I- Lab,,,,,,,FT01C1,,SL1016 English - I- Lab,,,,,,,FT01C1
,,Khyber IV,SL1016 English - I- Lab,,,,,,,BBA01A2,,SL1016 English - I- Lab,,,,,,,BBA01A2,,SL1016 English - I- Lab,,,,,,,BSBA01D2,,SL1016 English - I- Lab,,,,,,,BSBA01D2,,SL1016 English - I- Lab,,,,,,,FT01C2,,SL1016 English - I- Lab,,,,,,,FT01C2
,,Mehran-I,FL3001 Financial Management Lab,,,,,,,BSBA05C,,FL3001 Financial Management Lab,,,,,,,BSBA05C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mehran-II,LG3003 Basic Econometrics Lab,,,,,,,BSBA05A,,LG3003 Basic Econometrics Lab,,,,,,,BSBA05A,,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cal-I lab,SL1016 English - I- Lab,,,,,,,FT01D1,,SL1016 English - I- Lab,,,,,,,FT01D1,,SL1016 English - I- Lab,,,,,,,BSBA01C1,,SL1016 English - I- Lab,,,,,,,BSBA01C1,,CS,,,,,,,,,,,,,,,,
,,Cal-II lab,SL1016 English - I- Lab,,,,,,,FT01D2,,SL1016 English - I- Lab,,,,,,,FT01D2,,SL1016 English - I- Lab,,,,,,,BSBA01C2,,SL1016 English - I- Lab,,,,,,,BSBA01C2,,,,,,,,,,,,,,,,,,
,,Room,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
Tuesday,Classes,A-01,CS1001 IT in Business (08:30-10:20),,,,,,,,,,,BBA01B,,,,,,,MG2012 Business Economics,,,,,,,BBA03C,,AF2003 Management Accounting,,,,,,,BBA03C,,SS1007 Islamic Studies/Ethics (02:25-04:15),,,,,,,,,,BBA01A,,U-Sirat Nabi,,,,BBA01A
,,A-02,SS1016 English - I (08:30-10:20),,,,,,,,,,,BBA01A,,,,,,,AF4006 Investment Analysis & Management,,,,,,,AF07A,,AF4006 Investment Analysis & Management,,,,,,,AF07B,,CS1001 IT in Business (02:25-04:15),,,,,,,,,,,BBA01C,,,,,
,,A-03,,,,,,,,,,MG3004 Human Resource Management,,,,,,,BBA05A,,MG2001 Organizational Behaviour,,,,,,,BBA03B,,MG2009 Data Analysis for Business II,,,,,,,BBA03B,,MG2009 Data Analysis for Business II,,,,,,,BBA03A,,,,,,,,,
,,A-04,,,,,CS1001 IT in Business  (09:30-10:20),,,,,,,,,,,FT01A,,,MG4062 Brand Management,,,,,,,BBA07A/B,,MG4062 Brand Management,,,,,,,BBA07A/B,,MS,,,,,,,,,,,,,,,,
,,A-101,SS1003 Pakistan Studies,,,,,,,BBA7A,,SS1003 Pakistan Studies,,,,,,,BBA7A,,MG3014 Advanced Business Communication,,,,,,,BBA05B,,MG3014 Advanced Business Communication,,,,,,,BBA05A,,,,,,,,,,,,,,,,,,
,,A-102,MG3004 Human Resource Management,,,,,,,BBA05B,,MG3006 Operations Management,,,,,,,BBA05B,,MG3006 Operations Management,,,,,,,BBA05A,,,,,,,,,,,SS2041 Critical Thinking (02:25-04:15),,,,,,,,,,BBA03B,,,,,,
,,A-103,MG3003 Basic Econometrics,,,,,,,AF05A,,AF2005 Cost and Management Accounting,,,,,,,AF05A,,AF2003 Management Accounting,,,,,,,BBA03D,,MG2012 Business Economics,,,,,,,BBA03D,,MG2009 Data Analysis for Business II,,,,,,,AF03B,,MG2009 Data Analysis for Business II,,,,,,,AF03A
,,A-104,AF2005 Cost and Management Accounting,,,,,,,AF05B,,MG3003 Basic Econometrics,,,,,,,AF05B,,MG2011 Environmental Science and Sustainability for Business,,,,,,,BSBA03C,,AF1003 Intro to Financial Accounting,,,,,,,FT01D,,MG4045 Strategic Business Reporting,,,,,,,AF07A/B,,MG4045 Strategic Business Reporting,,,,,,,AF07A/B
,,A- 201,AF2005 Cost and Management Accounting,,,,,,,AF05C,,AF 3001 Financial Management,,,,,,,AF05C,,AF2001 Corporate Accounting - I,,,,,,,AF03A,,MG2010 Business Communication,,,,,,,AF03A,,MG2003 Consumer Behaviour,,,,,,,BSBA05A,,MG3004 Human Resource Management,,,,,,,BSBA05B
,,A- 202,MG1011 Business Mathematics,,,,,,,FT01C,,MG1002 Marketing Management,,,,,,,FT01C,,MG2010 Business Communication,,,,,,,AF03B,,AF2001 Corporate Accounting - I,,,,,,,AF03B,,SS1016 English - I (02:25-04:15),,,,,,,,,,,FT01B,,,,,
,,A- 203,MG1002 Marketing Management,,,,,,,FT01D,,MG1011 Business Mathematics,,,,,,,FT01D,,,,,,,,,,,CS2003 Data Structures and Business Application,,,,,,,BSBA05B,,AF1003 Intro to Financial Accounting,,,,,,,FT01C,,,,,,,,,
,,A-210,SS1007 Islamic Studies/Ethics (08:30-10:20),,,,,,,,,,FT01B,,U-Sirat Nabi,,,,FT01B,,,,,,,,,,,MG2001 Organizational Behaviour,,,,,,,BBA03A,,AF1003 Intro to Financial Accounting,,,,,,,BSBA01D,,Microeconomics,,,,,,,BBA03A
,,A--211,CS3017 Enterprise Systems & Applications,,,,,,,FT05C,,MG3003 Basic Econometrics,,,,,,,FT05C,,,,,,,,,,,,,,,,,,,,SS1016 English - I (02:25-04:15),,,,,,,,,,,BSBA01B,,,,,
,,A-301,Islamic Banking and Finance,,,,,,,AF07A/B,,Islamic Banking and Finance,,,,,,,AF07A/B,,AF2004 Business Finance,,,,,,,FT03C,,CS2012 Introduction to Object Oriented Programming,,,,,,,FT03C,,SS2043 Civics and Community Engagement (02:25-04:15),,,,,,,,,,,,FT03B,,,,
,,A-302,MG4011 Entrepreneurship,,,,,,,FT05B,,MG4011 Entrepreneurship,,,,,,,FT05A,,CS2012 Introduction to Object Oriented Programming,,,,,,,FT03D,,AF2004 Business Finance,,,,,,,FT03D,,SS2019 Psychology (02:25-04:15),,,,,,,,,,,,FT03C/FT05A,,,,
,,A-303,CS1001 IT in Business (08:30-10:20),,,,,,,,,,,BSBA01D,,,,,,,MT2004 Business Math-II,,,,,,,FT03B,,,,,,,,,,,MG4051  Digital Marketing,,,,,,,BSBA07A/B,,MG4051  Digital Marketing,,,,,,,BSBA07A/B
